QuantityX; Name; Edition; Foil; CMC; Mana Cost; Quantity; Toughness; Power; Rarity; Price (total); Card Type; Card Text; Card Rulings
1x; Dungeon Geists; Commander 2013 Edition; ; 4; 2UU; 1; 3; 3; R; 0.4662; Creature - Spirit; "Flying
When Dungeon Geists enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's untap step for as long as you control Dungeon Geists."; "• If another player gains control of Dungeon Geists, the creature will no longer be affected by the ability preventing it from untapping, even if you later regain control of Dungeon Geists.
• If you gain control of the creature that's being prevented from untapping, that creature won't untap during your untap step for as long as you control Dungeon Geists.
• The ability can target a tapped creature. If the targeted creature is already tapped when it resolves, that creature just remains tapped and doesn't untap during its controller's next untap step."
1x; Phyrexian Ingester; Commander 2014; ; 7; 6U; 1; 3; 3; R; 0.4662; Creature - Beast; "Imprint - When Phyrexian Ingester enters the battlefield, you may exile target nontoken creature.
Phyrexian Ingester gets +X/+Y, where X is the exiled creature card's power and Y is its toughness."; "• Phyrexian Ingester will get bonuses based on the card's power and toughness in exile. Counters, Auras, and Equipment it had on it before it was exiled won't add to those numbers.
• Abilities that define a creature's power and toughness apply while that card is in exile, but abilities that add or subtract from it don't. For example, the ability of Battle Squadron applies to determine Phyrexian Ingester's power and toughness, but the ability of Werebear doesn't. Phyrexian Ingester's power and toughness are constantly updated if the exiled card's power and/or toughness change.
• If the card in exile isn't a creature card (perhaps because it was a land that was temporarily a creature while on the battlefield), Phyrexian Ingester doesn't get a bonus."
1x; Soulblade Djinn; Magic Origins; ; 5; 3UU; 1; 3; 4; R; 0.4662; Creature - Djinn; "Flying
Whenever you cast a noncreature spell, creatures you control get +1/+1 until end of turn."; "• Any spell you cast that doesn't have the type creature will cause Soulblade Djinn's ability to trigger. If a spell has multiple types, and one of those types is creature (such as an artifact creature), casting it won't cause the ability to trigger. Playing a land also won't cause it to trigger.
• Soulblade Djinn's ability goes on the stack on top of the spell that caused it to trigger. It will resolve before that spell."
1x; Perilous Research; Coldsnap; ; 2; 1U; 1; 0; 0; U; 0.4662; Instant; "Draw two cards, then sacrifice a permanent."; ""
2x; Herald of Torment; Born of the Gods; ; 3; 1BB; 2; 3; 3; R; 0.9324; Enchantment Creature - Demon; "Bestow {3}{B}{B} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Flying
At the beginning of your upkeep, you lose 1 life.
Enchanted creature gets +3/+3 and has flying."; "• You don't choose whether the spell is going to be an Aura spell or not until the spell is already on the stack. Abilities that affect when you can cast a spell, such as flash, will apply to the spell after you've made this choice. For example, an effect that said you can cast creature spells as though they have flash won't allow you to cast a creature card with bestow as an Aura spell anytime you could cast an instant, but one that said you can cast Aura spells as though they have flash will.
• On the stack, a spell with bestow is either a creature spell or an Aura spell. It's never both, although it's an enchantment spell in either case.
• Unlike other Aura spells, an Aura spell with bestow isn't countered if its target is illegal as it begins to resolve. Rather, the effect making it an Aura spell ends, it loses enchant creature, it returns to being an enchantment creature spell, and it resolves and enters the battlefield as an enchantment creature.
• Unlike other Auras, an Aura with bestow isn't put into its owner's graveyard if it becomes unattached. Rather, the effect making it an Aura ends, it loses enchant creature, and it remains on the battlefield as an enchantment creature. It can attack (and its {T} abilities can be activated, if it has any) on the turn it becomes unattached if it's been under your control continuously, even as an Aura, since your most recent turn began.
• If a permanent with bestow enters the battlefield by any method other than being cast, it will be an enchantment creature. You can't choose to pay the bestow cost and have it become an Aura.
• Auras attached to a creature don't become tapped when the creature becomes tapped. Except in some rare cases, an Aura with bestow remains untapped when it becomes unattached and becomes a creature.
• An Aura that becomes a creature is no longer put into its owner's graveyard as a state-based action. Rather, it becomes unattached and remains on the battlefield as long as it's a creature. While it's a creature, it can't be attached to another permanent or player. An Aura that's not attached to a legal permanent or player as defined by its enchant ability and also isn't a creature will be put into its owner's graveyard as a state-based action.
• The triggered ability that causes you to lose life applies whether Herald of Torment is a creature or an Aura. The you in that ability refers to Herald of Torment's controller. If you control Herald of Torment as an Aura enchanting a creature another player controls, that ability will trigger at the beginning of your upkeep and cause you to lose 1 life."
1x; Nightmare; Magic Origins; ; 6; 5B; 1; 0; 0; R; 0.4662; Creature - Nightmare Horse; "Flying (This creature can't be blocked except by creatures with flying or reach.)
Nightmare's power and toughness are each equal to the number of Swamps you control."; "• If you control 0 swamps, then the Nightmare has 0 toughness and will be put into its owner's graveyard as a state-based action right before the next player gains priority.
• Nightmare's power and toughness changes as the number of Swamps you control changes.
• The ability that defines Nightmare's power and toughness works everywhere, not just on the battlefield.
• Nightmare's ability counts all lands you control with the subtype Swamp, not just ones named Swamp."
1x; Priest of the Blood Rite; Magic Origins; ; 5; 3BB; 1; 2; 2; R; 0.4662; Creature - Human Cleric; "When Priest of the Blood Rite enters the battlefield, create a 5/5 black Demon creature token with flying.
At the beginning of your upkeep, you lose 2 life."; ""
1x; Vampiric Spirit; Eighth Edition; ; 4; 2BB; 1; 3; 4; R; 0.4662; Creature - Spirit; "Flying
When Vampiric Spirit enters the battlefield, you lose 4 life."; ""
1x; Murderous Betrayal; Nemesis; ; 3; BBB; 1; 0; 0; R; 0.4662; Enchantment; "{B}{B}, Pay half your life, rounded up: Destroy target nonblack creature. It can't be regenerated."; ""
1x; Consume the Meek; Duel Decks: Zendikar vs. Eldrazi; ; 5; 3BB; 1; 0; 0; R; 0.4662; Instant; "Destroy each creature with converted mana cost 3 or less. They can't be regenerated."; ""
1x; Diabolic Tutor; Magic 2012; ; 4; 2BB; 1; 0; 0; U; 0.4662; Sorcery; "Search your library for a card and put that card into your hand. Then shuffle your library."; ""
1x; Monomania; Magic 2012; ; 5; 3BB; 1; 0; 0; R; 0.4662; Sorcery; "Target player chooses a card in their hand and discards the rest."; "• If there are one or zero cards in the player's hand, they will discard no cards."
1x; Crater Hellion; Commander 2013 Edition; ; 6; 4RR; 1; 6; 6; R; 0.4662; Creature - Hellion Beast; "Echo {4}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
When Crater Hellion enters the battlefield, it deals 4 damage to each other creature."; ""
2x; Kamahl, Pit Fighter; Duel Decks: Heroes vs. Monsters; ; 6; 4RR; 2; 1; 6; R; 0.9324; Legendary Creature - Human Barbarian; "Haste (This creature can attack and {T} as soon as it comes under your control.)
{T}: Kamahl, Pit Fighter deals 3 damage to any target."; "• The Legend rule only applies to two legendary permanents with identical names. If the names are different, even if they depict the same character, the rule does not apply."
